what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779891328233
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779891344868
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1779891346175
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779891346720
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779891346751
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779891350102
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1779891364455
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1779891370562
activated,perspective,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui.cPerspective",1779891370562
activated,perspective,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui.debugPerspective",1779891375433
activated,perspective,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.CPerspective",1779891385388
activated,perspective,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui.debugPerspective",1779891387170
activated,perspective,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.CPerspective",1779891389738
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1779891391362
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1779891397142
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1779891398033
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1779891401806
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1779891404308
activated,perspective,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui.cPerspective",1779891404308
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1779891405968
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1779891409278
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1779891410295
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779891413863
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779891414869
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.debug",1779891415103
error,log,,,"Unable to validate connection settings.",1779891421992
error,log,,,"Unable to validate connection settings.",1779891421997
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779891422025
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779891432404
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1779891441837
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1779891452398
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779891453463
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779891460229
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779891467748
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1779891473419
activated,view,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1779891474755
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1779891503128
