what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1780929439581
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1780929439581
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1780929439581
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1780929439581
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1780929439581
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1780929439581
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1780929439581
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1780929439581
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1780929439581
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1780929439581
started,bundle,com.altera.sbtgui.launch,13.13.0.132,"com.altera.sbtgui.launch",1780929439581
started,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1780929439581
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1780929439581
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1780929439581
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1780929439581
os,sysinfo,,,"win32",1780929439581
arch,sysinfo,,,"x86",1780929439581
ws,sysinfo,,,"win32",1780929439581
locale,sysinfo,,,"pt_BR",1780929439581
processors,sysinfo,,,"8",1780929439581
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1780929439581
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1780929439581
java.specification.name,sysinfo,,,"Java Platform API Specification",1780929439581
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1780929439581
java.specification.version,sysinfo,,,"1.6",1780929439581
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1780929439581
java.version,sysinfo,,,"1.6.0_23",1780929439581
java.vm.info,sysinfo,,,"mixed mode",1780929439581
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1780929439581
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1780929439581
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1780929439581
java.vm.specification.version,sysinfo,,,"1.0",1780929439581
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1780929439581
java.vm.version,sysinfo,,,"19.0-b09",1780929439581
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1780929440733
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780929441716
started,bundle,com.altera.sbtgui.ui,13.13.0.132,"com.altera.sbtgui.ui",1780929443086
started,bundle,com.altera.sbtgui.core,13.13.0.132,"com.altera.sbtgui.core",1780929443091
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1780929443218
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1780929443221
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1780929443221
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1780929443221
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1780929464864
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1780929464876
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1780929465542
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1780929466006
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780929469742
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1780929469742
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1780929474114
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1780929477968
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1780929477982
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1780929477987
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1780929478037
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1780929478470
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1780929492659
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1780929492781
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780929494979
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780929502104
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780929502643
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780929506062
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1780929519366
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1780929547200
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780929555315
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780929567102
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780929572916
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780929582463
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1780929584180
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780929590577
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780929593813
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1780929593813
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1780929596029
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1780929597243
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1780929599547
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1780929601145
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1780929602657
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780929604939
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780929605794
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1780929620529
